message_id,category,confidence,reason
MSG_0035,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0036,Promotional,0.8,Promotional Language Detected Please join
MSG_0037,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0038,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0039,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0040,Personal Information,0.77,The message containes personal or profile related information
MSG_0041,Meeting or Event,0.8,Meeting or Event Detected meeting
MSG_0042,Meeting or Event,0.85,"Meeting or Event Detected scheduled , Meeting"
MSG_0043,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0044,Promotional,0.85,"Promotional Language Detected by 2026-09-09 , Please complete"
MSG_0045,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0046,Promotional,0.85,"Promotional Language Detected Don't forget , deadline"
MSG_0047,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0048,Personal Information,0.77,The message containes personal or profile related information
MSG_0049,Meeting or Event,0.8,Meeting or Event Detected scheduled
MSG_0050,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0051,Meeting or Event,0.85,"Meeting or Event Detected appointment , Reminder: doctor appointment happens on 2026-09-16 at"
MSG_0052,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0053,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0054,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0055,Meeting or Event,0.8,Meeting or Event Detected scheduled
MSG_0056,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0057,Promotional,0.8,Promotional Language Detected Please note: I will send
MSG_0058,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0059,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0060,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0061,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0062,Promotional,0.8,Promotional Language Detected Please join
MSG_0063,Promotional,0.85,"Promotional Language Detected by 2026-09-07 , need you to"
MSG_0064,Meeting or Event,0.8,Meeting or Event Detected event
MSG_0065,Promotional,0.85,"Promotional Language Detected Don't forget , deadline"
MSG_0066,Meeting or Event,0.85,"Meeting or Event Detected scheduled , Meeting"
MSG_0067,Promotional,0.8,Promotional Language Detected Please join
MSG_0068,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0069,Personal Information,0.77,The message containes personal or profile related information
MSG_0070,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0071,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0072,Promotional,0.85,"Promotional Language Detected by 2026-09-05 , need you to"
MSG_0073,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0074,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0075,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0076,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0077,Meeting or Event,0.8,Meeting or Event Detected scheduled
MSG_0078,Personal Information,0.77,The message containes personal or profile related information
MSG_0079,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0080,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0081,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0082,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0083,Promotional,0.85,"Promotional Language Detected by 2026-09-04 , need you to"
MSG_0084,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0085,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0086,Sensitive Information,0.99,Sensitive Information Detected : password
MSG_0087,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0088,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0089,Promotional,0.85,"Promotional Language Detected Don't forget , deadline"
MSG_0090,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0091,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0092,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0093,Personal Information,0.87,The message containes personal or profile related information
MSG_0094,Personal Information,0.77,The message containes personal or profile related information
MSG_0095,Sensitive Information,0.99,Sensitive Information Detected : password
MSG_0096,Meeting or Event,0.8,Meeting or Event Detected event
MSG_0097,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0098,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0099,Personal Information,0.77,The message containes personal or profile related information
MSG_0100,Meeting or Event,0.8,Meeting or Event Detected Reminder: sprint planning happens on 2026-09-16 at
MSG_0101,Promotional,0.85,"Promotional Language Detected Don't forget , deadline"
MSG_0102,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0103,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0104,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0105,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0106,Personal Information,0.77,The message containes personal or profile related information
MSG_0107,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0108,Personal Information,0.77,The message containes personal or profile related information
MSG_0109,Personal Information,0.87,The message containes personal or profile related information
MSG_0110,Meeting or Event,0.8,Meeting or Event Detected meeting
MSG_0111,Promotional,0.85,"Promotional Language Detected by 2026-09-10 , need you to"
MSG_0112,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0113,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0114,Promotional,0.85,"Promotional Language Detected by 2026-09-08 , Please complete"
MSG_0115,Promotional,0.85,"Promotional Language Detected Don't forget , deadline"
MSG_0116,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0117,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0118,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0119,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0120,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0121,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0122,Meeting or Event,0.85,"Meeting or Event Detected catch-up , Reminder: mentor catch-up happens on 2026-09-11 at"
MSG_0123,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0124,Meeting or Event,0.85,"Meeting or Event Detected catch-up , Reminder: mentor catch-up happens on 2026-09-06 at"
MSG_0125,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0126,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0127,Meeting or Event,0.85,"Meeting or Event Detected appointment , Reminder: doctor appointment happens on 2026-09-11 at"
MSG_0128,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0129,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0130,Sensitive Information,0.99,Sensitive Information Detected : contact_or_address
MSG_0131,Meeting or Event,0.8,Meeting or Event Detected scheduled
MSG_0132,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0133,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0134,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0135,Meeting or Event,0.85,"Meeting or Event Detected catch-up , Reminder: mentor catch-up happens on 2026-09-21 at"
MSG_0136,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0137,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0138,Meeting or Event,0.8,Meeting or Event Detected scheduled
MSG_0139,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0140,Sensitive Information,0.99,Sensitive Information Detected : password
MSG_0141,Meeting or Event,0.8,Meeting or Event Detected event
MSG_0142,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0143,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0144,Promotional,0.85,"Promotional Language Detected Don't forget , deadline"
MSG_0145,Promotional,0.85,"Promotional Language Detected by 2026-09-04 , Please complete"
MSG_0146,Personal Information,0.77,The message containes personal or profile related information
MSG_0147,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0148,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0149,Meeting or Event,0.8,Meeting or Event Detected event
MSG_0150,Promotional,0.85,"Promotional Language Detected Don't forget , deadline"
MSG_0151,Meeting or Event,0.8,Meeting or Event Detected scheduled
MSG_0152,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0153,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0154,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0155,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0156,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0157,Promotional,0.85,"Promotional Language Detected by 2026-09-07 , need you to"
MSG_0158,Personal Information,0.77,The message containes personal or profile related information
MSG_0159,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0160,Promotional,0.85,"Promotional Language Detected by 2026-09-05 , Please submit"
MSG_0161,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0162,Promotional,0.8,Promotional Language Detected Please join
MSG_0163,Promotional,0.85,"Promotional Language Detected Don't forget , deadline"
MSG_0164,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0165,Personal Information,0.77,The message containes personal or profile related information
MSG_0166,Personal Information,0.77,The message containes personal or profile related information
MSG_0167,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0168,Promotional,0.8,Promotional Language Detected Please join
MSG_0169,Meeting or Event,0.8,Meeting or Event Detected Reminder: sprint planning happens on 2026-09-06 at
MSG_0170,Meeting or Event,0.8,Meeting or Event Detected meeting
MSG_0171,Promotional,0.8,Promotional Language Detected by 2026-09-09
MSG_0172,Sensitive Information,0.99,Sensitive Information Detected : contact_or_address
MSG_0173,Promotional,0.85,"Promotional Language Detected by 2026-09-05 , need you to"
MSG_0174,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0175,Promotional,0.85,"Promotional Language Detected by 2026-09-06 , need you to"
MSG_0176,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0177,Meeting or Event,0.8,Meeting or Event Detected Reminder: sprint planning happens on 2026-09-21 at
MSG_0178,Promotional,0.85,"Promotional Language Detected by 2026-09-02 , need you to"
MSG_0179,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0180,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0181,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0182,Personal Information,0.77,The message containes personal or profile related information
MSG_0183,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0184,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0185,Personal Information,0.77,The message containes personal or profile related information
MSG_0186,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0187,Personal Information,0.77,The message containes personal or profile related information
MSG_0188,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0189,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0190,Meeting or Event,0.8,Meeting or Event Detected meeting
MSG_0191,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0192,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0193,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0194,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0195,Promotional,0.8,Promotional Language Detected by 2026-09-03
MSG_0196,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0197,Meeting or Event,0.8,Meeting or Event Detected event
MSG_0198,Meeting or Event,0.8,Meeting or Event Detected meeting
MSG_0199,Sensitive Information,0.99,Sensitive Information Detected : contact_or_address
MSG_0200,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0201,Promotional,0.8,Promotional Language Detected Please note: Calendar update
MSG_0202,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0203,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0204,Personal Information,0.77,The message containes personal or profile related information
MSG_0205,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0206,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0207,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0208,Promotional,0.85,"Promotional Language Detected by 2026-09-06 , Please submit"
MSG_0209,Promotional,0.8,Promotional Language Detected Please note: Calendar update
MSG_0210,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0211,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0212,Personal Information,0.77,The message containes personal or profile related information
MSG_0213,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0214,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0215,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0216,Meeting or Event,0.85,"Meeting or Event Detected scheduled , Meeting"
MSG_0217,Promotional,0.8,Promotional Language Detected Please note: The review
MSG_0218,Meeting or Event,0.8,Meeting or Event Detected Reminder: sprint planning happens on 2026-09-16 at
MSG_0219,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0220,Promotional,0.8,Promotional Language Detected by 2026-09-06
MSG_0221,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0222,Promotional,0.8,Promotional Language Detected Please join
MSG_0223,Promotional,0.8,Promotional Language Detected Please join
MSG_0224,Meeting or Event,0.8,Meeting or Event Detected event
MSG_0225,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0226,Promotional,0.85,"Promotional Language Detected by 2026-09-02 , need you to"
MSG_0227,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0228,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0229,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0230,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0231,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0232,Promotional,0.85,"Promotional Language Detected by 2026-09-10 , need you to"
MSG_0233,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0234,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0235,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0236,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0237,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0238,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0239,Personal Information,0.77,The message containes personal or profile related information
MSG_0240,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0241,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0242,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0243,Sensitive Information,0.99,Sensitive Information Detected : one_time_password
MSG_0244,Promotional,0.8,Promotional Language Detected Please join
MSG_0245,Promotional,0.85,"Promotional Language Detected by 2026-09-08 , Please complete"
MSG_0246,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0247,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0248,Personal Information,0.87,The message containes personal or profile related information
MSG_0249,Meeting or Event,0.85,"Meeting or Event Detected catch-up , Reminder: mentor catch-up happens on 2026-09-21 at"
MSG_0250,Personal Information,0.77,The message containes personal or profile related information
MSG_0251,Promotional,0.85,"Promotional Language Detected Don't forget , deadline"
MSG_0252,Promotional,0.85,"Promotional Language Detected by 2026-09-06 , need you to"
MSG_0253,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0254,Sensitive Information,0.99,Sensitive Information Detected : payment_details
MSG_0255,Promotional,0.8,Promotional Language Detected Please join
MSG_0256,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0257,Sensitive Information,0.99,Sensitive Information Detected : payment_details
MSG_0258,Meeting or Event,0.85,"Meeting or Event Detected scheduled , Meeting"
MSG_0259,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0260,Personal Information,0.77,The message containes personal or profile related information
MSG_0261,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0262,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0263,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0264,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0265,Promotional,0.85,"Promotional Language Detected Don't forget , deadline"
MSG_0266,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0267,Sensitive Information,0.99,Sensitive Information Detected : payment_details
MSG_0268,Meeting or Event,0.8,Meeting or Event Detected Reminder: sprint planning happens on 2026-09-11 at
MSG_0269,Promotional,0.85,"Promotional Language Detected Don't forget , deadline"
MSG_0270,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0271,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0272,Personal Information,0.77,The message containes personal or profile related information
MSG_0273,Sensitive Information,0.99,Sensitive Information Detected : one_time_password
MSG_0274,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0275,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0276,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0277,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0278,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0279,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0280,Meeting or Event,0.8,Meeting or Event Detected meeting
MSG_0281,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0282,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0283,Promotional,0.85,"Promotional Language Detected Don't forget , deadline"
MSG_0284,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0285,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0286,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0287,Promotional,0.85,"Promotional Language Detected by 2026-09-08 , Please reply"
MSG_0288,Sensitive Information,0.99,Sensitive Information Detected : one_time_password
MSG_0289,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0290,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0291,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0292,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0293,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0294,Meeting or Event,0.85,"Meeting or Event Detected catch-up , Reminder: mentor catch-up happens on 2026-09-11 at"
MSG_0295,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0296,Personal Information,0.87,The message containes personal or profile related information
MSG_0297,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0298,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0299,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0300,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0301,Promotional,0.85,"Promotional Language Detected by 2026-09-05 , Please reply"
MSG_0302,Meeting or Event,0.8,Meeting or Event Detected scheduled
MSG_0303,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0304,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0305,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0306,Promotional,0.9,"Promotional Language Detected by 2026-09-07 , need you to , Please note: I need you to review"
MSG_0307,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0308,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0309,Promotional,0.85,"Promotional Language Detected Don't forget , deadline"
MSG_0310,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0311,Promotional,0.8,Promotional Language Detected Please join
MSG_0312,Promotional,0.85,"Promotional Language Detected by 2026-09-10 , need you to"
MSG_0313,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0314,Promotional,0.8,Promotional Language Detected by 2026-09-03
MSG_0315,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0316,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0317,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0318,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0319,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0320,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0321,Personal Information,0.77,The message containes personal or profile related information
MSG_0322,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0323,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0324,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0325,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0326,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0327,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0328,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0329,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0330,Promotional,0.8,Promotional Language Detected Please note: Please join
MSG_0331,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0332,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0333,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0334,Promotional,0.85,"Promotional Language Detected by 2026-09-04 , need you to"
MSG_0335,Promotional,0.8,Promotional Language Detected by 2026-09-07
MSG_0336,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0337,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0338,Meeting or Event,0.85,"Meeting or Event Detected scheduled , Meeting"
MSG_0339,Promotional,0.85,"Promotional Language Detected Don't forget , deadline"
MSG_0340,Promotional,0.85,"Promotional Language Detected by 2026-09-07 , need you to"
MSG_0341,General Information,0.7,"The message provides general information without a clear action, event, promotional, personal or sensitive information"
MSG_0342,Meeting or Event,0.85,"Meeting or Event Detected scheduled , Meeting"
